Date/Time,Song Name,Artist,Song ID
2014-12-19T10:31:24Z,Bad (feat. Vassy) - Radio Edit,David Guetta,66b8a84c502856afb78afec2696f4de0
2014-12-19T10:31:26Z,Somebody To You,The Vamps,ecca7ca709d298d8610ec7987860b092
2014-12-19T10:31:31Z,Change Your Ticket,One Direction,4f316291aecef773c1b877cf6c148844
2014-12-22T19:45:10Z,Shower,Becky G,1997c967215fbd12595ff658ade0ef4d
2014-12-23T15:58:22Z,Where Do Broken Hearts Go,One Direction,abfbd7ef780b15a71118f96136d9ce24
2014-12-23T16:02:41Z,Photograph,Ed Sheeran,10753a25d8f456ea071d7d06e34ab570
2014-12-23T16:05:19Z,Little Black Dress,One Direction,3f75e424776dc6053d19684e429bbe8c
2014-12-23T16:08:15Z,Happily,One Direction,45ae1188d00a76278e9ae86c53ce2ac2
2014-12-23T16:11:07Z,Cold Coffee,Ed Sheeran,3180d5cda3b37331cf660722591a6139
2014-12-23T16:11:53Z,Smells Like Teen Spirit,Nirvana,b86d4a6f1651c140ae3d16cb350950e7
2014-12-23T16:12:23Z,You're Never Fully Dressed Without a Smile (2014 Film Version),Sia,5d9d87fcef9533adaf6f24d2bc24528c
2014-12-23T16:19:12Z,Good Girls,5 Seconds of Summer,561e982e7cbc19a5a4a043dcb991ab43
2014-12-23T16:19:13Z,Come Get It Bae,Pharrell Williams,4ff55c7804ddbee0ec4ffe4d873efaa4
2014-12-23T16:19:22Z,Backpack,Justin Bieber,7e7a9bfd0e5566e0dc8fab86b558b395
2014-12-23T16:23:08Z,Night Changes,One Direction,ee57db5d8fbed6a9d3c672e8f9b8d07d
2014-12-23T16:23:11Z,No Control,One Direction,5ac306f1bcfc47a5dd32438c12a9dbad
2014-12-23T16:24:49Z,18,One Direction,5e9744afea82da0b03dbc366faff257a
2014-12-23T16:25:00Z,Tenerife Sea,Ed Sheeran,459026debbd34472c468132f2b5d61fc
2014-12-23T16:25:20Z,These Days,Take That,6044e8beb1b6ae4dcc86f7fd8604f76e
2014-12-23T16:26:39Z,The Days,Avicii,98bbf723f61a84ecaa50129c3ec20bdc
2014-12-23T16:28:19Z,Act My Age,One Direction,7eb8dd0938281623157de6482509ac9e
2014-12-23T16:28:21Z,How Long Will I Love You - Bonus Track,Ellie Goulding,24d1b7ff29a1729dcdaa9f037b559453
2014-12-23T16:31:17Z,The Nights,Avicii,032793aba02a79da8ac7ac5e1ab56b0b
2014-12-23T16:35:51Z,Do I Wanna Know?,Arctic Monkeys,0e2af8a0f5df135637aa053e4cd3ab6f
2014-12-23T16:35:56Z,Rock Me,One Direction,91a0e3459ff4696a03badac9535800a7
2014-12-23T16:36:38Z,Does He Know?,One Direction,5f6d1a5ed7c00ab71fe1d1fc3c951ccb
2014-12-23T16:37:14Z,Gingers Have Souls,The Gregory Brothers,8f0f71c99faa3afd0ad9cdccf57a0fcb
2014-12-23T16:37:35Z,Fool's Gold,One Direction,377e8eb10c537dcf4e49aa5160730be9
2014-12-24T12:12:19Z,Alive,One Direction,a324c65957adad9d3df0c3a5417c24f7
2014-12-24T12:21:40Z,Ready to Run,One Direction,24dec2c84f0514b3a6293341944264cf
2014-12-24T12:25:20Z,Don't,Ed Sheeran,1719d144eee88e3907febc35290a83ea
2014-12-24T12:45:24Z,This Is How We Do,Katy Perry,d8f533d0876d484f10a0d08b93ddd0d4
2014-12-24T12:45:54Z,Do They Know It's Christmas? - 1984 Version,Band Aid,d0ef59d56a0eb51a00c0b062d768ec24
2014-12-24T12:50:52Z,I See Fire,Ed Sheeran,fbe6bd08e259a41bc772651359a8e91a
2014-12-24T12:51:21Z,American Dream,MKTO,d64fcb6d788aed4a6f01e7281e8c9ca1
2014-12-24T12:55:37Z,Addicted To You,Avicii,ae80f10893b9abb94a298f3951e5f31b
2014-12-24T12:59:44Z,Levels - Radio Edit,Avicii,c27d2252ee70288629b821579aa14fc2
2014-12-24T13:00:02Z,Your Song,Ellie Goulding,a003a422e20e7f0465314073375a3e80
2014-12-24T13:02:41Z,Tee Shirt - Soundtrack Version,Birdy,839254d61e2de3c82aa126f0b0fb35ab
2014-12-24T13:05:56Z,We Can't Stop,Miley Cyrus,0a89bea3a1a28623b7199f01be9bc8b8
2014-12-24T13:08:19Z,Love Story,Taylor Swift,fd0bded93b552d69c67ec0005e057058
2014-12-24T13:11:10Z,Merry Go 'Round,Kacey Musgraves,1d7787851d769105d9e90a7fced28291
2014-12-24T13:14:19Z,Follow Your Arrow,Kacey Musgraves,76afc0680df4acd6843ba56ce91d1ded
2014-12-24T13:16:44Z,Hang Loose,Alabama Shakes,8e5c21b757aa6c4b6764cb81106515ad
2014-12-24T13:17:11Z,I Wanna Be Yours,Arctic Monkeys,3f846f2526663f31302bba6c99e2e0d9
2014-12-24T13:19:26Z,ABC,The Jackson 5,fe2130316af4ff0a699bd2056e0085a3
2014-12-24T13:22:30Z,Riptide,Vance Joy,caa278b308a7c1c571536220f5c1ac67
2014-12-24T13:22:32Z,Kisses for Breakfast (feat. Popcaan),Melissa Steel,bdb9c474e31acc6f1e82f25b0dc8bbc8
2014-12-24T13:22:43Z,Glow,Ella Henderson,0e381ec5b0b80a2970d595c3cff47cd0
2014-12-26T20:12:26Z,She,Ed Sheeran,3848c5dc707d3879f59c94a7d863cf10
2014-12-26T20:14:51Z,Fire Alarms,Ed Sheeran,76a1cc0a31bebfcfff3670f0d80b9ddb
2014-12-26T20:22:18Z,Breed,Nirvana,ce132c98e6489a8fc935862b8c20f458
2014-12-26T20:22:20Z,Homeless,Ed Sheeran,3f828c10cf8514a99cfd122da7a8f151
2014-12-26T20:22:23Z,Firefly,Ed Sheeran,d0f6dda3bb2d2751558abfdde926605f
2014-12-26T20:26:19Z,So,Ed Sheeran,3a8d321216ff1ecb1f8d365764a2a67b
2014-12-26T20:26:57Z,About A Girl,Nirvana,a39924f7d0d99f7733442960bcd67ba0
2014-12-28T14:14:38Z,Sofa,Ed Sheeran,057c2ab319c1f48a46d3c763de35abbd
2014-12-28T14:27:03Z,Little Lady (feat. Mikill Pane),Ed Sheeran,17f655d0dd044bd53b320ee7b4071d46
2014-12-28T17:49:48Z,Goodbye to You (feat. Dot Rotten),Ed Sheeran,f972dc3abef4f4c592fafd2a4b892d33
2014-12-28T17:51:10Z,Wake Me Up - Live at the Bedford,Ed Sheeran,8dc092a2185bfd302d17262cbba6a1ac
2014-12-29T17:14:01Z,I Miss You,Kacey Musgraves,cbfa5bed55969782db1280f7c8017ad7
2014-12-29T17:22:34Z,Almost Is Never Enough - Soundtrack Version,Ariana Grande,f7c13d9a49b93dffd9f90e3e5a843b9b
2014-12-29T17:22:54Z,Honeymoon Avenue,Ariana Grande,5a2931fbf28c07f9050dad8f336c1911
2014-12-29T17:22:57Z,I Won't Let You Go,Snow Patrol,1881c4d161a8a8010cdb20a532dee2be
2014-12-29T17:23:27Z,Highway Don't Care,Tim McGraw,59c38538136700652f97986157cc856b
2014-12-30T15:01:38Z,Sunburn,Ed Sheeran,e805bacbbca8bb78484c46a962fc45cb
2015-10-22T00:03:48Z,Young God,Halsey,c28b386ae74600992012eee4999496cc
2015-10-22T00:05:27Z,Black Widow,Iggy Azalea,2f000b1df9cbf73f43dfe00fb2367e63
2015-10-22T00:08:49Z,Girls Like Girls,Hayley Kiyoko,0d3b338a8e20fbffc8111e610e667ad6
2015-10-22T00:08:52Z,Mad Hatter,Melanie Martinez,105dafdcbe274827a467ddca63aabda2
2015-10-22T00:11:04Z,Trouble - Stripped,Halsey,302dff5f5932707b394aac2676d31ce7
2015-10-22T00:12:36Z,Rich Youth,Hayley Kiyoko,3d11efc9aed7abbdc25dd76135a59c26
2015-10-22T00:12:38Z,FOOLS,Troye Sivan,50890bf61959f10962662b8e52a24631
2015-10-22T00:16:57Z,Drive,Halsey,998a10e5256c39343cf90db9de9d22e3
2015-10-22T00:20:23Z,Run Away,Chase Atlantic,f1a3c1249cc1fd6577cb622090a2af33
2015-10-22T00:24:31Z,Strange Love,Halsey,ca3fa7e0ccf8fbf968af5a3ba73308aa
2015-10-22T00:28:08Z,Vibes,Chase Atlantic,a9a5d7d6e8398ac8382271da473fdaed
2015-10-22T00:31:18Z,Better Than Love,Hayley Kiyoko,abb5d4d88ad5d15a6ef80a726dde419a
2015-10-22T00:35:57Z,Anchor Tattoo,Chase Atlantic,c1557bd05f046761664b229f4eceee70
2015-10-22T00:39:18Z,Gasoline,Halsey,fdac467e14722544efc316ac5aad73e5
2015-10-22T00:42:55Z,Mrs. Potato Head,Melanie Martinez,6738ef391a131d7c5e5660526bad4114
2015-10-22T00:46:23Z,A Belle to Remember,Hayley Kiyoko,f23232d433ae084eb51aa04a70fab9a0
2015-10-22T00:50:14Z,Hold Your Breath,Chase Atlantic,1e47732660f8efe4f4affe560efff831
2015-10-22T00:53:48Z,Cliffs Edge,Hayley Kiyoko,09a544bff812febe44118f4b0307d476
2015-10-22T12:48:08Z,Roman Holiday,Halsey,00d722ed59bb579ec515257178812226
2015-10-22T12:52:25Z,What Do You Mean?,Justin Bieber,34b3e7ae0df8cdfb0d665c68d7ed6a1e
2015-10-22T13:00:01Z,Turn Up the Music,Adam Hicks,b2ca1976c3e162062b06f1414cb252a1
2015-10-22T22:31:05Z,No Interruption,Hoodie Allen,27f05ea22c49cda7d5e9d0015ffa29b5
2015-10-22T23:16:55Z,Perfect,One Direction,6db4cbc6a28db6140333a217ef8553d6
2015-10-23T21:10:30Z,Haunting,Halsey,3efc532187be725de630438bfb6b567e
2015-10-24T09:21:11Z,Colors pt. II,Halsey,4c6776644e6f3abcdbee180ff48a2c9f
2015-10-24T09:21:36Z,Trouble - Sander Kleinenberg Remix,Halsey,2bdf1625d531ee4ce9b378c16f0f0b57
2015-10-24T09:21:39Z,Hurricane,Halsey,41bfd58dbbaac6cb24d0ba07dac4ff58
2015-10-24T09:21:40Z,Ghost - Lost Kings Remix,Halsey,6fa4b9b0a1aba4eb4095e7fde9e9959b
2015-10-24T09:25:12Z,Is There Somewhere,Halsey,975e7bc16a86e560c970bc0597905b53
2015-10-24T09:25:18Z,Hurricane - Arty Remix,Halsey,ae8c4a3ddcec337f43fb0b781badeb69
2015-10-24T09:25:19Z,Empty Gold,Halsey,a0dc6f27f6b8228f6ca25cd16b7838db
2015-10-24T09:32:57Z,ILYSB,LANY,d4726aca3911589929702c31dc5299c3
2015-10-24T09:36:01Z,New Americana,Halsey,f371ee081030f872ce9f9ea90c631473
2015-10-24T09:39:55Z,St. Patrick,PVRIS,ca01741e4626b2eb61ca07016cd36411
2015-10-24T09:39:59Z,Mountain at My Gates,Foals,b9a82cab8f6574da403b7c36976812a6
2015-10-24T09:47:14Z,Hold Me Down,Halsey,ce62edc3db8cb179c3fe9a8dafc6c2af
2015-10-24T09:51:11Z,OctaHate,Ryn Weaver,c194aef48eae619a63a4961ca22abdb9
2015-10-24T09:58:32Z,Talking Body,Tove Lo,31155a7b3dbf498970718c3635cb00d8
2015-10-24T10:01:36Z,Cardiac Arrest,Bad Suns,5edd1357d6b5849729d7cd34a0aa93a7
2015-10-24T10:05:41Z,Promises,Ryn Weaver,e495618082b57b7f47dabb2a898db2b3
2015-10-24T10:08:46Z,Ghost,Halsey,b6d87c64ef5c91a39dc355a3b760be99
2015-10-24T10:38:20Z,Castle,Halsey,5233d47d4e5c623cffb86ea2fdace640
2015-10-24T10:41:57Z,Control,Halsey,3a92bde5073b1bb24075722cb53d35cd
2015-10-24T11:02:34Z,Zikomo Yesu,Biggie Nabwelela,73d394535fb57fcc110f510e438d6f8b
2015-10-24T11:02:53Z,Born Again,The Notorious B.I.G.,ffdeb1be91c2e0f47aa1a74b17bcb995
2015-10-24T11:46:20Z,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,fd65b447de1e9af90d5f0f421944c8e8
2015-10-24T11:48:12Z,Thin Line (feat. Buffalo Madonna),Macklemore & Ryan Lewis,c6ca17ea1cf1dbe7941706772cf085b7
2015-10-24T12:40:09Z,Coming Down,Halsey,cae880c1f0698525a615550e31099494
2015-10-24T12:47:21Z,I Walk The Line,Halsey,5424c5a7f3e81acacc764fe116a35d42
2015-10-24T12:51:31Z,Colors,Halsey,694d20ba0a19daefaa8d139005eabe16
2015-10-24T13:13:47Z,(OMG),LANY,e1bad2b348d056a708bfaaa5c0482fd9
2015-10-24T13:14:04Z,"Bad, Bad, Bad",LANY,c8bfcd489e856238e50371dcc215ffdf
2015-10-24T13:14:05Z,Hot Lights,LANY,97f1318c2834fb8f811b4dac33cf4470
2015-10-24T13:14:06Z,Walk Away,LANY,93410b7714cdd0ef403443d99deccc2b
2015-10-24T13:14:07Z,Made in Hollywood,LANY,d6b9d6907c4c81e8bcc0a807a197a822
2015-10-24T13:14:17Z,BRB,LANY,c812fe2a60e09d2520d8a343433c785c
2015-10-24T14:20:39Z,Imagination Infatuation,MisterWives,bf12ea34be9111244af319814ada2e30
2015-10-24T14:20:41Z,Never Gonna Change,BROODS,0d4386cf56eea84cd86c733eda59e46b
2015-10-24T14:20:49Z,Hypnotic,Zella Day,299e7c8edc3bde4aafa4cf7c66ceb67e
2015-10-26T15:38:13Z,Sorry,Justin Bieber,cb4c66a07df4423bc39220eb20d4de34
2015-10-28T21:40:46Z,BITE,Troye Sivan,baca4dda38f938ab06c31b70a60c5c44
2015-10-28T21:41:26Z,She's 22,Troye Sivan,0c036462d95662a41ae9128023a980a4
2015-10-28T21:54:31Z,WILD,Troye Sivan,150a5e11781179a7699e5e1ca658dbb2
2015-10-28T21:54:32Z,Make You Love Me,Troye Sivan,6318217c8374cc5f53f25d5ae2cd6c07
2015-10-28T22:15:47Z,Breed - Live In London / 1989,Nirvana,cdafef9fc3017d6e359dc509df7360e9
2015-10-28T22:15:50Z,June Haverly,Troye Sivan,8481339e3ae14d3ce69ea427fa47bbbd
2015-10-30T14:12:32Z,This Side of Paradise,Hayley Kiyoko,e8f15799ec42db9319201552575ef5a6
2015-11-07T00:11:06Z,As Long As You Love Me,Justin Bieber,1d9c23891cc81f19b48b98964afcc63d
2015-11-07T00:11:26Z,Fa La La,Justin Bieber,d6cef6fa79aa2a4cf7beb0b7bf973044
2015-11-07T00:32:44Z,All Around The World,Justin Bieber,8f9af98a5c243f15acc72c745016ef16
2015-11-08T23:47:56Z,Beauty And A Beat,Justin Bieber,6a312af3e05e6e8f390e4d8f04b633e3
2015-11-10T23:55:56Z,All I Want Is You,Justin Bieber,f4c554bab4635d5ee0c7c9925193a876
2015-11-11T00:08:32Z,Nothing Like Us,Justin Bieber,d7d23b1113a43c7d9f7506f731fbd152
2015-11-11T00:08:38Z,Never Say Never,Justin Bieber,d4b4f657e0ae88a0b1e3234fc6a02f57
2015-11-13T07:02:47Z,Where Are Ü Now (with Justin Bieber),Jack Ü,a0044e22647fe8497cd1aac867c6c93a
2015-11-13T07:06:51Z,The Feeling,Justin Bieber,555ebb95b57d569e6fe24cb76f983f11
2015-11-13T07:09:12Z,Company,Justin Bieber,11bcccc01f1920a82de33fa017240164
2015-11-13T07:12:42Z,A.M.,One Direction,5891feeb5c25ed83e15be35c6e2ca5f1
2015-11-13T23:34:18Z,Take You,Justin Bieber,c755baa4fd3fea477c0c3037a283f8a6
2015-11-14T21:44:28Z,Stone Cold,Demi Lovato,f004fb552457424758ae2caaa95bd0a6
2015-11-14T21:48:33Z,Two Pieces,Demi Lovato,b38a2250bed0909d37899df875c4601d
2015-11-16T00:02:39Z,Cool for the Summer,Demi Lovato,a7f794efefb77170a7118df934cf75f0
2015-11-16T00:08:20Z,You're My Only Shorty,Demi Lovato,342f01a497925d49e2e73ade2b29a440
2015-11-16T00:08:29Z,Who's That Boy,Demi Lovato,35ae59f047df3229aef34d071861c705
2015-11-16T00:13:52Z,PYD,Justin Bieber,c730ecb019c4514a7d3084d11e6efc02
2015-11-16T00:13:59Z,Fa La La - (a cappella),Justin Bieber,9bc9b700e5011c27dc474445828bb811
2015-11-16T00:14:34Z,Party,Demi Lovato,89469ad84ec85c66fda08ea3a4bfcdf3
2015-11-16T00:29:39Z,Somebody To Love,Justin Bieber,762fec6d0b1db075e6c7063867e35d74
2015-11-16T00:29:42Z,What's Hatnin',Justin Bieber,aee2bb4d32b873edf976eb554e17a102
2015-11-16T17:31:42Z,First Dance,Justin Bieber,089f596809a51b4c76824c59cadd6f27
2015-11-16T23:15:07Z,Mistletoe,Justin Bieber,58f291484bced9be65b18c658a2fb502
2015-11-16T23:18:37Z,Change Me,Justin Bieber,4f6116ff50ab44c882d186f2df4087b2
2015-11-16T23:29:09Z,One Time,Justin Bieber,4708dda7f3f74bc2f9135e7502ca7064
2015-11-16T23:34:36Z,Recovery,Justin Bieber,076c3ce37c4e72f45c70410472aac6c8
2015-11-16T23:58:35Z,Give Your Heart a Break,Demi Lovato,8d5a6c6eb6347721ab8fba4c61715110
2015-11-17T00:02:10Z,Right Here,Justin Bieber,28aabefbbde5830a5a0919b711644c85
2015-11-17T00:05:49Z,Warrior,Demi Lovato,5d4b4142c55f0ee45d36f1b0d61dc9ab
2015-11-17T00:13:10Z,Made in the USA - Live in London,Demi Lovato,323dcd5eb916258b470ef36906193280
2015-11-19T17:51:47Z,Out Of Town Girl,Justin Bieber,4895c1930b3c4ce95ae78c856b4117b0
2015-11-19T17:56:08Z,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber,745fd1180e8317e0df1a186d16583497
2015-11-19T17:56:12Z,Fairytale,Justin Bieber,7663a6740e08f1c7d392e22c126d8d64
